seller_gst,product_category,subtotal,taxes,total_amount,gst_percentage,is_fraud,fraud_type
18KBWHI4672S1Z5,Grocery,48537.1,0,-100,5.0,1,Anomalous Value
21CJQQJ2756C1Z5,Books,23308.78,1165.44,24424.219999999998,5.0,1,Calculation Error
20OPYJS4483V1Z5,Services,43324.56,0,-100,18.0,1,Anomalous Value
09NWIOB5470F1Z5,Grocery,33254.34,1662.72,34917.06,5.0,0,None
06ITCYF0865E1Z5,Essential Medicine,16195.63,1943.48,18139.11,12.0,0,None
09EGJOX0579C1Z5,Services,45361.03,8164.99,53526.02,18.0,0,None
D27XWNWD5S0H4E3,Essential Medicine,8274.34,992.92,9267.26,12.0,1,Invalid GSTIN
04EAWLC9156X1Z5,Essential Medicine,10762.33,1291.48,12003.81,12.0,1,Calculation Error
24RRGDN8528O1Z5,Services,36608.93,6589.61,43198.54,18.0,0,None
03PCNYW8512W1Z5,Books,14199.04,709.95,14858.990000000002,5.0,1,Calculation Error
36APBPO8227K1Z5,Electronics,32293.38,5812.81,38106.19,18.0,0,None
07CGZUR9305C1Z5,Grocery,23430.03,1171.5,24601.53,5.0,0,None
22FXTHO5397B1Z5,Luxury Goods,4394.39,1230.43,5624.820000000001,28.000000000000004,0,None
15BODMM3379H1Z5,Essential Medicine,25376.82,3045.22,28522.04,12.0,1,Calculation Error
05JTNFD1513E1Z5,Grocery,14949.45,747.47,15696.92,5.0,0,None
IV2LIE4603H61CK,Grocery,3005.33,150.27,3155.6,5.0,1,Invalid GSTIN
31HJHDN7330P1Z5,Essential Medicine,17929.51,2151.54,20031.05,12.0,1,Calculation Error
26SAVQA5707N1Z5,Electronics,35061.17,4207.34,39268.509999999995,18.0,1,Rate Mismatch
11QBGCG2708A1Z5,Electronics,43702.94,7866.53,51569.47,18.0,0,None
3NJK9R2ZMBT8QK3,Essential Medicine,41686.63,5002.4,46689.03,12.0,1,Invalid GSTIN
11ZTVCS1638B1Z5,Services,12612.48,2270.25,14932.73,18.0,1,Calculation Error
32NEDII6719U1Z5,Books,19756.57,987.83,20744.4,5.0,0,None
MFPRUUBNNAKLS4B,Services,47858.62,8614.55,56473.17,18.0,1,Invalid GSTIN
16PWOZQ1016L1Z5,Services,1676.59,0,-100,18.0,1,Anomalous Value
28VJRKA4656H1Z5,Grocery,47560.86,2378.04,49988.9,5.0,1,Calculation Error
12KBAES9882Q1Z5,Essential Medicine,36601.4,4392.17,40993.57,12.0,0,None
22XVRNJ3190U1Z5,Services,28434.72,5118.25,33552.97,18.0,0,None
21ZNLFR7479P1Z5,Luxury Goods,36451.83,10206.51,46658.340000000004,28.000000000000004,0,None
1Q77JDMWBCRPUMZ,Books,16718.61,835.93,17554.54,5.0,1,Invalid GSTIN
24IEULH6227O1Z5,Grocery,5812.08,290.6,6052.68,5.0,1,Calculation Error
16UTEXK5442J1Z5,Services,29132.82,3495.94,32628.76,18.0,1,Rate Mismatch
04OPSTW6626N1Z5,Essential Medicine,33586.97,4030.44,37617.41,12.0,0,None
01ZIQON7160B1Z5,Services,47019.44,2350.97,49370.41,18.0,1,Rate Mismatch
27KKNKP3275H1Z5,Services,9963.11,1793.36,11756.470000000001,18.0,0,None
34KRIHJ5774M1Z5,Books,31644.29,8860.4,40504.69,5.0,1,Rate Mismatch
02RFHBF7672L1Z5,Electronics,29326.26,5278.73,34604.99,18.0,0,None
36PPRAD8804Y1Z5,Electronics,23883.72,4299.07,28182.79,18.0,0,None
15TYWDB4060P1Z5,Services,18294.72,3293.05,21587.77,18.0,0,None
3L2NLCCPA9PL3CL,Essential Medicine,27262.48,3271.5,30533.98,12.0,1,Invalid GSTIN
29PRRFX3371F1Z5,Luxury Goods,43644.67,12220.51,55865.18,28.000000000000004,0,None
04VQJPY9444L1Z5,Luxury Goods,48132.07,13476.98,61609.05,28.000000000000004,0,None
20GWLTK9128R1Z5,Grocery,9004.74,0,-100,5.0,1,Anomalous Value
13SJGPA6150C1Z5,Services,21476.59,3865.79,25342.38,18.0,0,None
08RMAOX7296U1Z5,Books,49150.48,2457.52,51608.0,5.0,0,None
15RBURA2485Q1Z5,Electronics,28739.84,5173.17,33913.01,18.0,0,None
22HTYFW4726P1Z5,Electronics,27255.12,4905.92,32161.04,18.0,0,None
26VGOLG1009H1Z5,Grocery,36949.94,1847.5,38797.44,5.0,0,None
14FWNAH9381Q1Z5,Luxury Goods,4860.07,1360.82,6220.889999999999,28.000000000000004,0,None
03HRQRO0585K1Z5,Essential Medicine,5487.43,658.49,6145.92,12.0,0,None
20GGRVK2265D1Z5,Grocery,44850.26,2242.51,47092.770000000004,5.0,0,None
08PBGLK5830X1Z5,Luxury Goods,12485.69,3495.99,15981.68,28.000000000000004,0,None
35EMQZF1942T1Z5,Electronics,27974.35,5035.38,33009.729999999996,18.0,0,None
04QVRED1076V1Z5,Books,49533.79,2476.69,52010.48,5.0,0,None
P07MPAO6BSI7KLN,Electronics,20778.16,3740.07,24518.23,18.0,1,Invalid GSTIN
10EZHCH3658D1Z5,Grocery,4859.13,242.96,5102.09,5.0,0,None
12ZEBKG8392C1Z5,Grocery,31700.49,1585.02,33285.51,5.0,0,None
29CNLVD9986E1Z5,Luxury Goods,23211.23,6499.14,29710.37,28.000000000000004,0,None
25VLSZF1231J1Z5,Services,1963.98,353.52,2317.5,18.0,0,None
03ONLVP0435S1Z5,Books,37384.79,1869.24,39254.03,5.0,0,None
06EWUTV7906J1Z5,Essential Medicine,22619.86,2714.38,25334.24,12.0,0,None
36BMGHI4604Y1Z5,Luxury Goods,30481.1,3657.73,34138.83,28.000000000000004,1,Rate Mismatch
37XMVNS0816F1Z5,Books,44574.96,2228.75,46803.71,5.0,0,None
30KKEUC1981W1Z5,Books,117.91,5.9,123.81,5.0,0,None
37PMRCV2234O1Z5,Books,47067.75,2353.39,49421.14,5.0,0,None
14JWYLC0645W1Z5,Luxury Goods,33827.44,9471.68,43299.12,28.000000000000004,0,None
33MYUOE1151S1Z5,Luxury Goods,22660.1,6344.83,29004.93,28.000000000000004,0,None
18ENFNI6218I1Z5,Essential Medicine,36256.6,4350.79,40607.39,12.0,0,None
29IFPGK1984F1Z5,Books,43336.13,2166.81,45502.939999999995,5.0,0,None
G4VQFXJ79678PG8,Books,1981.52,99.08,2080.6,5.0,1,Invalid GSTIN
30UBFSF8740B1Z5,Luxury Goods,31427.26,8799.63,40276.89,28.000000000000004,1,Calculation Error
28EBZGD0309X1Z5,Luxury Goods,1197.15,335.2,1532.3500000000001,28.000000000000004,0,None
24FRDEA7754R1Z5,Essential Medicine,29039.84,3484.78,32624.62,12.0,1,Calculation Error
21MXCVZ3043T1Z5,Books,28815.79,1440.79,30256.58,5.0,0,None
LAA5BHV7BSERNMH,Luxury Goods,23064.75,6458.13,29522.88,28.000000000000004,1,Invalid GSTIN
35FCTLR4422D1Z5,Essential Medicine,11839.96,1420.8,13260.759999999998,12.0,0,None
19DPHFV7349L1Z5,Luxury Goods,25051.5,7014.42,32065.92,28.000000000000004,0,None
12KHGGC0781G1Z5,Electronics,3777.67,679.98,4457.65,18.0,0,None
11GKKAG9768G1Z5,Luxury Goods,41554.1,11635.15,53189.25,28.000000000000004,0,None
29WEFBD2117X1Z5,Essential Medicine,39325.59,4719.07,44044.659999999996,12.0,0,None
26TGDYQ7464G1Z5,Grocery,42095.96,2104.8,44200.76,5.0,0,None
33TBABC8450N1Z5,Essential Medicine,22216.33,2665.96,24882.29,12.0,0,None
36IUQVJ0792K1Z5,Books,14601.32,730.07,15331.39,5.0,0,None
37DZJEF1387Q1Z5,Grocery,4715.25,235.76,4951.01,5.0,0,None
04LQGZR1242I1Z5,Books,461.82,23.09,484.90999999999997,5.0,0,None
08YIXRA4447G1Z5,Electronics,41896.7,7541.41,49438.11,18.0,0,None
02KSWHZ5411Y1Z5,Grocery,12280.21,614.01,12894.22,5.0,0,None
22MIBSV4782A1Z5,Essential Medicine,41343.99,4961.28,46305.27,12.0,0,None
37XLUIX4009V1Z5,Services,6585.01,1185.3,7770.31,18.0,0,None
22ZOXVC7773D1Z5,Services,48931.91,8807.74,57739.65,18.0,0,None
08WCKCY6061R1Z5,Services,32655.53,5878.0,38533.53,18.0,0,None
16ZWRJD6474I1Z5,Grocery,13981.89,699.09,14680.98,5.0,0,None
22INNNH5964D1Z5,Electronics,48404.79,0,-100,18.0,1,Anomalous Value
34KUCXB1357H1Z5,Essential Medicine,11228.05,561.4,11789.449999999999,12.0,1,Rate Mismatch
ZLKKW5DFTG1F73Z,Essential Medicine,40182.07,4821.85,45003.92,12.0,1,Invalid GSTIN
28MWFYM3655M1Z5,Essential Medicine,28316.07,3397.93,31714.0,12.0,0,None
02HHANE9570U1Z5,Electronics,4063.68,731.46,4795.139999999999,18.0,0,None
06KETJI6143K1Z5,Electronics,2076.4,373.75,2450.15,18.0,0,None
30MMTAP0483P1Z5,Luxury Goods,34656.9,6238.24,40895.14,28.000000000000004,1,Rate Mismatch
20ZAHNH4692R1Z5,Essential Medicine,28988.09,1449.4,30437.49,12.0,1,Rate Mismatch
30XMROT8920U1Z5,Services,19277.23,3469.9,22797.13,18.0,1,Calculation Error
34RLEVW4503N1Z5,Essential Medicine,9144.97,1097.4,10242.369999999999,12.0,0,None
18OWYFM6381S1Z5,Luxury Goods,24914.33,6976.01,31890.340000000004,28.000000000000004,0,None
31RUNFN6198K1Z5,Luxury Goods,6785.31,1899.89,8685.2,28.000000000000004,0,None
14PFISE9951J1Z5,Electronics,14833.36,2670.0,17503.36,18.0,0,None
29REDPQ5419L1Z5,Electronics,36007.14,6481.29,42488.43,18.0,0,None
14SUPPI8619R1Z5,Books,41438.82,2071.94,43510.76,5.0,0,None
28XESNX2368G1Z5,Electronics,4519.51,813.51,5333.02,18.0,0,None
35QWQQQ2901V1Z5,Luxury Goods,23157.66,6484.14,29691.8,28.000000000000004,1,Calculation Error
07IYQVC9191D1Z5,Luxury Goods,27155.78,4888.04,32043.82,28.000000000000004,1,Rate Mismatch
04VSONU5547N1Z5,Grocery,33692.31,1684.62,35376.93,5.0,0,None
15RAJNO7541R1Z5,Essential Medicine,25785.42,3094.25,28879.67,12.0,0,None
04KVVZI6316H1Z5,Essential Medicine,47688.73,5722.65,53411.380000000005,12.0,0,None
14WBBAQ5661V1Z5,Grocery,2621.92,131.1,2753.02,5.0,0,None
29JKDTS2820Q1Z5,Grocery,6230.34,311.52,6541.860000000001,5.0,0,None
ERVFR3LXZ6DAXO6,Essential Medicine,43947.72,5273.73,49221.45,12.0,1,Invalid GSTIN
03NQYJN9964B1Z5,Books,19047.27,952.36,19999.63,5.0,0,None
01HJBAB0625I1Z5,Electronics,45009.53,8101.72,53161.25,18.0,1,Calculation Error
04GADPN1164L1Z5,Essential Medicine,9280.24,1113.63,10393.869999999999,12.0,0,None
22XKZCD3956C1Z5,Essential Medicine,34639.72,4156.77,38796.490000000005,12.0,0,None
G69JE6BDBU01ZS3,Services,44039.9,7927.18,51967.08,18.0,1,Invalid GSTIN
08QGJDE8750G1Z5,Books,26128.95,0,-100,5.0,1,Anomalous Value
06ZVYCY9483M1Z5,Books,8201.73,410.09,8611.82,5.0,0,None
08OOKHH2233Z1Z5,Luxury Goods,27572.78,7720.38,35293.159999999996,28.000000000000004,0,None
16VBQMY2206M1Z5,Services,23938.75,4308.97,28247.72,18.0,0,None
29QBVKC7843Q1Z5,Grocery,8171.49,408.57,8580.06,5.0,0,None
26PQXIZ4975E1Z5,Electronics,22148.11,3986.66,26134.77,18.0,0,None
34HGKKA8921F1Z5,Grocery,20522.07,1026.1,21548.17,5.0,0,None
23SQASZ7742F1Z5,Electronics,31326.29,5638.73,36965.020000000004,18.0,0,None
10UXGWN4045C1Z5,Essential Medicine,16418.13,1970.18,18388.31,12.0,0,None
21VZZUY5217D1Z5,Grocery,25750.57,1287.53,27038.1,5.0,0,None
04YRCAR4092D1Z5,Essential Medicine,43894.09,5267.29,49161.38,12.0,0,None
07IQRHE4704K1Z5,Grocery,2561.09,128.05,2689.1400000000003,5.0,0,None
14SIZUW1833W1Z5,Essential Medicine,32358.73,3883.05,36241.78,12.0,0,None
13ACAJC7947V1Z5,Books,33850.21,1692.51,35542.72,5.0,0,None
20MIRWB6235O1Z5,Books,12738.94,636.95,13375.890000000001,5.0,0,None
14PGJGU2348H1Z5,Essential Medicine,37820.37,4538.44,42358.810000000005,12.0,0,None
11UGGAA4427Y1Z5,Luxury Goods,16609.37,4650.62,21359.989999999998,28.000000000000004,1,Calculation Error
29NPTPN6238P1Z5,Electronics,28278.0,7917.84,36195.84,18.0,1,Rate Mismatch
20TAHOR6180I1Z5,Luxury Goods,22936.82,6422.31,29359.13,28.000000000000004,0,None
21CQKEH8534V1Z5,Essential Medicine,25896.14,3107.54,29003.68,12.0,0,None
04VFRGT6139S1Z5,Electronics,16892.24,3040.6,19932.84,18.0,0,None
18RVHNJ7202Q1Z5,Books,3428.61,171.43,3600.04,5.0,0,None
03ZCPCQ4768G1Z5,Electronics,39083.36,7035.0,46118.36,18.0,0,None
26NOKML3448D1Z5,Books,36372.05,1818.6,38190.65,5.0,0,None
30ARXNO3453F1Z5,Electronics,20266.05,3647.89,23913.94,18.0,0,None
24NJAKF1040J1Z5,Grocery,28108.1,1405.4,29513.5,5.0,0,None
13WGUQC8991W1Z5,Grocery,8141.22,407.06,8548.28,5.0,0,None
24XQRON1305E1Z5,Luxury Goods,9527.95,2667.83,12195.78,28.000000000000004,0,None
35UUGVT0738D1Z5,Luxury Goods,11559.34,0,-100,28.000000000000004,1,Anomalous Value
17WDIEA9414O1Z5,Services,11931.66,2147.7,14079.36,18.0,0,None
21RVWNO6546J1Z5,Services,29144.82,5246.07,34390.89,18.0,0,None
31PAUMB6057W1Z5,Services,23307.91,4195.42,27503.33,18.0,0,None
08TGMGB1039P1Z5,Luxury Goods,27022.83,0,-100,28.000000000000004,1,Anomalous Value
13IWFLD8950P1Z5,Electronics,36853.14,6633.57,43486.71,18.0,0,None
24CUHCM3062X1Z5,Grocery,738.93,36.95,775.88,5.0,0,None
10OKUKP2487R1Z5,Essential Medicine,8504.5,1020.54,9525.04,12.0,0,None
37BZCVG8182M1Z5,Grocery,11624.38,581.22,12205.599999999999,5.0,0,None
19NDLSW5899S1Z5,Essential Medicine,19707.49,2364.9,22072.390000000003,12.0,0,None
24MERKY9420A1Z5,Electronics,16461.92,2963.15,19425.07,18.0,0,None
09ZWMEO5720Q1Z5,Grocery,47636.5,13338.22,60974.72,5.0,1,Rate Mismatch
17ZJBUY5111Y1Z5,Grocery,4730.67,1324.59,6055.26,5.0,1,Rate Mismatch
37VXLZZ3418I1Z5,Electronics,20678.1,1033.9,21712.0,18.0,1,Rate Mismatch
04VQWNF3949Q1Z5,Grocery,22241.16,1112.06,23353.22,5.0,0,None
28TLWEE8414Q1Z5,Luxury Goods,39353.76,11019.05,50372.81,28.000000000000004,0,None
28KIFDE4034F1Z5,Grocery,8859.81,442.99,9302.8,5.0,0,None
35ATCQO4324P1Z5,Electronics,47090.81,8476.35,55567.159999999996,18.0,0,None
26GKAHP9627D1Z5,Books,921.0,46.05,967.05,5.0,0,None
35BNOUB5927W1Z5,Luxury Goods,26305.91,7365.65,33621.56,28.000000000000004,1,Calculation Error
NBGF8SJONHTWLRE,Essential Medicine,49131.87,5895.82,55027.69,12.0,1,Invalid GSTIN
16PRVFQ4105K1Z5,Luxury Goods,20283.53,0,-100,28.000000000000004,1,Anomalous Value
15FXGVK2133B1Z5,Essential Medicine,31934.85,3832.18,35767.03,12.0,0,None
06PRUOC8248N1Z5,Services,21567.7,3882.19,25449.89,18.0,0,None
36ZUVWF3776Z1Z5,Electronics,33367.0,6006.06,39373.06,18.0,0,None
08CRXUH5684A1Z5,Luxury Goods,29328.85,8212.08,37540.93,28.000000000000004,0,None
24EYNAY6713F1Z5,Electronics,47381.37,8528.65,55910.020000000004,18.0,0,None
04TFTVE6100O1Z5,Grocery,16430.66,821.53,17252.19,5.0,0,None
23JVLBA5631M1Z5,Electronics,43228.82,7781.19,51010.01,18.0,0,None
30ZLJUJ6323S1Z5,Services,46413.98,8354.52,54768.5,18.0,0,None
35OUKGQ0021R1Z5,Luxury Goods,16203.32,4536.93,20740.25,28.000000000000004,0,None
26HYMOL8187I1Z5,Books,1335.79,66.79,1402.58,5.0,0,None
17QKKEH3275X1Z5,Essential Medicine,12525.1,1503.01,14028.11,12.0,0,None
08GKIBP1612G1Z5,Services,11809.62,2125.73,13935.35,18.0,0,None
34LMWMD8977R1Z5,Services,11311.39,2036.05,13347.439999999999,18.0,0,None
12PUNIB3614M1Z5,Luxury Goods,17397.8,4871.38,22269.18,28.000000000000004,0,None
24IDRZY9489D1Z5,Essential Medicine,8189.7,982.76,9172.46,12.0,0,None
10MMJYQ9932W1Z5,Services,47570.7,8562.73,56133.42999999999,18.0,0,None
N9GAQBF3Q9RRUG8,Grocery,37371.56,1868.58,39240.14,5.0,1,Invalid GSTIN
14LAFMB2147S1Z5,Services,32889.05,5920.03,38809.08,18.0,0,None
16HPHPZ1428U1Z5,Grocery,2824.8,141.24,2966.04,5.0,0,None
21ZRDUQ6384B1Z5,Grocery,8925.03,446.25,9371.28,5.0,0,None
03RUCZT3641H1Z5,Grocery,27491.26,1374.56,28815.82,5.0,1,Calculation Error
03EYNTB6315J1Z5,Grocery,47869.62,2393.48,50263.100000000006,5.0,0,None
23QIHKH6440A1Z5,Luxury Goods,22210.29,6218.88,28429.170000000002,28.000000000000004,0,None
23XAUXW0922R1Z5,Luxury Goods,41264.08,11553.94,52818.020000000004,28.000000000000004,0,None
36FHICA9137Y1Z5,Grocery,11079.42,553.97,11733.39,5.0,1,Calculation Error
16PWONS9067M1Z5,Electronics,7106.44,1279.16,8385.6,18.0,0,None
09VFKVS8457B1Z5,Luxury Goods,26154.54,7323.27,33477.81,28.000000000000004,0,None
10MGSKN0515R1Z5,Electronics,6138.86,0,-100,18.0,1,Anomalous Value
05ILDZQ5462F1Z5,Grocery,5962.65,298.13,6260.78,5.0,0,None
27QAJOP0460I1Z5,Books,49582.82,2479.14,52061.96,5.0,0,None
K0BXICK6V6IZ4G1,Luxury Goods,46840.09,13115.23,59955.31999999999,28.000000000000004,1,Invalid GSTIN
35NXRAZ4966Q1Z5,Electronics,15465.9,2783.86,18249.76,18.0,0,None
07TBBIT7228Z1Z5,Services,13878.84,2498.19,16377.03,18.0,0,None
10IFLUP3943P1Z5,Electronics,28396.51,5111.37,33557.88,18.0,1,Calculation Error
26VUSPZ5803N1Z5,Books,8191.88,409.59,8601.47,5.0,0,None
32IXCWJ7523S1Z5,Grocery,32294.14,1614.71,33908.85,5.0,0,None
36FSIOY4556H1Z5,Grocery,11105.93,555.3,11761.23,5.0,1,Calculation Error
4D5WFJXRI8VZAA6,Electronics,1574.6,283.43,1858.03,18.0,1,Invalid GSTIN
7F6ZCBXXW1422DS,Essential Medicine,4310.33,517.24,4827.57,12.0,1,Invalid GSTIN
19YN0SWIB01W3GH,Books,4084.58,204.23,4288.8099999999995,5.0,1,Invalid GSTIN
05XHMVE5151Q1Z5,Luxury Goods,16766.93,4694.74,21511.67,28.000000000000004,1,Calculation Error
12OZBJI0768E1Z5,Services,28643.45,5155.82,33799.270000000004,18.0,0,None
04MXFBX8457C1Z5,Essential Medicine,6963.87,835.66,7799.53,12.0,0,None
10GTISM6047U1Z5,Essential Medicine,22365.15,2683.82,25048.97,12.0,0,None
26DXUXB7282R1Z5,Services,34362.9,0,-100,18.0,1,Anomalous Value
G8N1KHSZ7CB2INJ,Services,36347.87,6542.62,42890.490000000005,18.0,1,Invalid GSTIN
04JWSAO1540G1Z5,Grocery,4042.4,202.12,4244.52,5.0,0,None
14VWPXX0448U1Z5,Books,30819.28,1540.96,32360.239999999998,5.0,0,None
23QAVVY2354Q1Z5,Services,27886.57,0,-100,18.0,1,Anomalous Value
17WJROW3187I1Z5,Books,10545.87,0,-100,5.0,1,Anomalous Value
21FGVET5240B1Z5,Grocery,21850.59,3933.11,25783.7,5.0,1,Rate Mismatch
16IWWPY6564W1Z5,Essential Medicine,1056.63,126.8,1183.43,12.0,0,None
TTZV2VTI5OD5M26,Electronics,313.08,56.35,369.43,18.0,1,Invalid GSTIN
23ZHGJW3293W1Z5,Electronics,16799.92,3023.99,19823.909999999996,18.0,0,None
31AKPTI2841A1Z5,Luxury Goods,13148.7,3681.64,16880.34,28.000000000000004,1,Calculation Error
32INRIJ5339Z1Z5,Electronics,9756.55,1756.18,11512.73,18.0,0,None
02NTAGH4641P1Z5,Electronics,24271.14,4368.81,28639.95,18.0,0,None
J0IM6X629I79ZM3,Books,7318.16,365.91,7684.07,5.0,1,Invalid GSTIN
03IONRB3127R1Z5,Electronics,12138.03,2184.85,14322.880000000001,18.0,0,None
XZ8SCJQUV8P42C8,Essential Medicine,21724.87,2606.98,24331.85,12.0,1,Invalid GSTIN
03UHBVH7686H1Z5,Essential Medicine,33578.57,4029.43,37608.0,12.0,0,None
27CQZAO5132Y1Z5,Books,18078.79,903.94,18982.73,5.0,0,None
29RIPRI2804A1Z5,Essential Medicine,35535.3,9949.88,45485.18,12.0,1,Rate Mismatch
26JKQFX7052J1Z5,Grocery,34821.2,1741.06,36562.259999999995,5.0,0,None
36ZTHYQ8616W1Z5,Essential Medicine,27416.86,3290.02,30706.88,12.0,0,None
JWXZZKKIB0W8IM2,Essential Medicine,11720.29,1406.43,13126.720000000001,12.0,1,Invalid GSTIN
PO18EIBWWVL2FB0,Services,11604.0,2088.72,13692.72,18.0,1,Invalid GSTIN
34XFSDQ0735W1Z5,Essential Medicine,31511.59,3781.39,35292.98,12.0,0,None
21VZEOY4468Y1Z5,Services,9662.91,2705.61,12368.52,18.0,1,Rate Mismatch
13ADXYM2050Z1Z5,Essential Medicine,48621.13,5834.54,54455.67,12.0,0,None
04JOZHZ5149D1Z5,Electronics,22093.62,3976.85,26070.469999999998,18.0,0,None
29ZABSF5665I1Z5,Electronics,37699.24,10555.79,48255.03,18.0,1,Rate Mismatch
31ZKHWV2147T1Z5,Electronics,19217.45,2306.09,21523.54,18.0,1,Rate Mismatch
33UYAAA6096G1Z5,Electronics,16596.18,2987.31,19583.49,18.0,0,None
03YXRGM8201D1Z5,Luxury Goods,46504.18,13021.17,59525.35,28.000000000000004,0,None
18JBTEM7549U1Z5,Grocery,30160.68,1508.03,31668.71,5.0,0,None
05VQQDA9233H1Z5,Services,6952.45,1946.69,8899.14,18.0,1,Rate Mismatch
31AKEBH0702C1Z5,Luxury Goods,38044.09,10652.35,48696.439999999995,28.000000000000004,0,None
02WQUZA7010T1Z5,Services,38149.8,10681.94,48831.740000000005,18.0,1,Rate Mismatch
10CJCJY5624D1Z5,Luxury Goods,11227.37,3143.66,14371.03,28.000000000000004,0,None
20KXYUG1824N1Z5,Grocery,44461.75,2223.09,46684.84,5.0,0,None
04TZPDM4265K1Z5,Luxury Goods,40520.98,11345.87,51866.850000000006,28.000000000000004,0,None
30ZCQLX9664J1Z5,Books,8438.97,421.95,8860.92,5.0,0,None
30XZOZM4338C1Z5,Services,48408.01,8713.44,57121.450000000004,18.0,0,None
23GCMPM6079V1Z5,Services,35277.02,6349.86,41626.88,18.0,0,None
VT9MM72ZXXIZXTL,Essential Medicine,40862.37,4903.48,45765.850000000006,12.0,1,Invalid GSTIN
26CIETJ2189B1Z5,Books,48325.49,2416.27,50741.759999999995,5.0,0,None
